h,pair_index,c,d,shift,survival_count,survival_frequency_numerator,survival_frequency_denominator,survival_frequency_decimal,first_winning_k,last_winning_k,longest_consecutive_winning_run,never_wins,wins_every_k,leave_anchor_out_survival_count,leave_anchor_out_frequency_numerator,leave_anchor_out_frequency_denominator,leave_anchor_out_frequency_decimal
-720,186,10,16,152587949674,70,70,257,0.272373540856031128404669260700,-126,128,3,0,0,,,,
-720,187,11,0,177148,69,69,257,0.268482490272373540856031128405,-124,124,3,0,0,,,,
-720,189,11,2,177172,69,69,257,0.268482490272373540856031128405,-124,127,3,0,0,,,,
-720,192,11,5,180272,47,47,257,0.182879377431906614785992217899,-121,127,2,0,0,,,,
-720,193,11,6,192772,67,67,257,0.260700389105058365758754863813,-124,124,3,0,0,,,,
-720,195,11,8,567772,67,67,257,0.260700389105058365758754863813,-125,127,3,0,0,,,,
-720,198,11,11,49005272,54,54,257,0.210116731517509727626459143969,-126,127,2,0,0,,,,
-720,199,11,12,244317772,65,65,257,0.252918287937743190661478599222,-122,127,3,0,0,,,,
-720,201,11,14,6103692772,79,79,257,0.307392996108949416342412451362,-126,127,3,0,0,,,,
-720,204,12,0,531442,71,71,257,0.276264591439688715953307392996,-127,124,3,0,0,,,,
-720,206,12,2,531466,71,71,257,0.276264591439688715953307392996,-128,125,3,0,0,,,,
-720,208,12,4,532066,71,71,257,0.276264591439688715953307392996,-128,125,3,0,0,,,,
-720,209,12,5,534566,50,50,257,0.194552529182879377431906614786,-127,128,3,0,0,,,,
-720,212,12,8,922066,57,57,257,0.221789883268482490272373540856,-126,125,3,0,0,,,,
-720,214,12,10,10297066,70,70,257,0.272373540856031128404669260700,-128,128,3,0,0,,,,
-720,216,12,12,244672066,69,69,257,0.268482490272373540856031128405,-128,128,3,0,0,,,,
-720,218,12,14,6104047066,72,72,257,0.280155642023346303501945525292,-126,122,3,0,0,,,,
-720,221,13,0,1594324,65,65,257,0.252918287937743190661478599222,-124,127,3,0,0,,,,
-720,226,13,5,1597448,61,61,257,0.237354085603112840466926070039,-126,126,2,0,0,,,,
-720,227,13,6,1609948,69,69,257,0.268482490272373540856031128405,-125,127,3,0,0,,,,
-720,229,13,8,1984948,60,60,257,0.233463035019455252918287937743,-125,127,3,0,0,,,,
-720,231,13,10,11359948,67,67,257,0.260700389105058365758754863813,-124,127,3,0,0,,,,
-720,232,13,11,50422448,46,46,257,0.178988326848249027237354085603,-125,123,2,0,0,,,,
-720,233,13,12,245734948,69,69,257,0.268482490272373540856031128405,-124,127,3,0,0,,,,
-720,237,13,16,152589484948,68,68,257,0.264591439688715953307392996109,-117,127,3,0,0,,,,
-720,238,14,0,4782970,68,68,257,0.264591439688715953307392996109,-128,121,3,0,0,,,,
-720,240,14,2,4782994,70,70,257,0.272373540856031128404669260700,-127,125,3,0,0,,,,
-720,242,14,4,4783594,66,66,257,0.256809338521400778210116731518,-126,121,3,0,0,,,,
-720,243,14,5,4786094,50,50,257,0.194552529182879377431906614786,-120,125,3,0,0,,,,
-720,244,14,6,4798594,65,65,257,0.252918287937743190661478599222,-127,128,3,0,0,,,,
-720,246,14,8,5173594,60,60,257,0.233463035019455252918287937743,-127,121,3,0,0,,,,
-720,248,14,10,14548594,68,68,257,0.264591439688715953307392996109,-127,125,3,0,0,,,,
