point_ordinal,mask_index,class_index,point_index,n,T,mask_sha256
223,223,55,2,213247234514,24,217b2df1a8bca1416f0d1af41c1bb1c5673e2c9b47ea9f014a10daf63488ee43
224,224,56,2,213730757074,55,e2ff901228b52bb8eb24eb24bd8c1c2d623a805ed475dab4ad1faed42e499326
225,225,57,2,213840802874,23,ba0abb6016dc96535d6298ab8160285d3b642512f1bc7f98b0eb37f0693155da
226,226,58,2,213856220234,41,3eccc058a7728c7897614f37581a753a55116458c635597bad936394120477f0
227,227,59,2,213925598354,32,adab9713ab64b35a2a7144a91074b4654bc529034f5ccc7e362e2395ced70618
228,228,60,2,213941015714,38,2b8dd6f0a642c40046f8f4e531cf0044fa7ad9c3c60989b6363dc6a4915977ca
229,229,61,2,214074401914,58,c65dcb4121164786e1924965cb593c620c127f6c672fd16c1ce6d2cd48401292
230,230,62,2,214430595554,27,792363c244bde7eb0ff30ea0ebea200e3e16e13df281dc59b10222c8ef9a03a0
231,231,63,2,214603962194,24,c801fb30c46ee0b04e2b1664d98c76a30e0cb80b5bf5fe3f402197c30c366382
232,232,64,2,214619379554,35,8c90f54e124006ad568416d5d86e16baf69d6b5d498a4a976a40309a833bcbba
233,233,65,2,214688757674,25,e7e6163659683e21eb9db3174ec6d11788b795bbd820aa3afdfc511de01d114c
234,234,66,2,214704175034,25,ca41c03175c2e742cdec81415b57da16a7c980932e2a7847bb5100519f8e40fa
235,235,67,2,214939368434,32,d866857b649036208f7269f5b561176806f4167ba5dde57a8aa15a4885ac01bd
236,236,68,2,215043356954,27,5a1af2bf8aa18896c195fad838ec80b6646c220b7a0360598cba3df2823a81a0
237,237,69,2,215112735074,24,feedca094460f996c6638377cc8eb8fc6d5160e00ba376aed7b55ae1c35de926
